name,identifier,parent
Hyenghene,None,nmif1235
Extreme Northern New Caledonian,None,nort3325
Kum-Nel-Yua-Cac,None,extr1244
Kum-Nel-Yua,None,kumn1236
Nyalayu,None,extr1244
Southern New Caledonian,None,main1286
Mid-Southern New Caledonian,None,sout3313
Houailou,None,mids1246
Extreme Southern New Caledonian,None,sout3313
Southern Vanuatu,None,sout3173
Erromanga,None,sout2868
Tanna,None,sout2868
Northern Tanna linkage,None,tann1242
Whitesands-North Tanna linkage,None,nort3218
Southern Tanna,None,tann1242
Greater SHWNG,None,east2712
Nabi-Irarutu,None,sout2850
South Halmahera-West New Guinea,None,sout2850
Lower Mamberamo,None,sout3229
Yoke-Pauwi,None,lowe1409
Bomberai,None,sout3229
Raja Ampat-South Halmahera,None,sout3229
Salawati-Batta,None,raja1255
South Halmahera,None,raja1255
Central-Eastern South Halmahera,None,sout3231
East Makian-Gane,None,sout3231
Ambel-Biga,None,raja1255
Maya-Matbat,None,raja1255
Raja Ampat Maya,None,maya1288
Cenderawasih Bay,None,sout3229
Southwest Cenderawasih Bay,None,cend1238
Yaur-Yerisiam,None,sout3230
Yapen,None,cend1238
Central-Western Yapen,None,yape1249
Ansus-Ambai,None,cent2277
Central Yapen,None,cent2277
Serui-Busami,None,cent2308
Eastern Yapen,None,yape1249
Biakic,None,cend1238
Biak-Roon,None,biak1249
Central Malayo-Polynesian,None,cent2237
Bima-Lembata,None,cent2245
Flores-Lembata,None,bima1248
Lamaholot Barat,None,flor1239
North Lembata-Adonara,None,lama1293
Flores Lamaholot,None,lama1293
Lamaholot Tengah,None,flor1239
Southeast Lembata,None,lama1294
Lamaholot Timur,None,flor1239
Flores-Sumba-Hawu,None,bima1248
Sumba-Hawu,None,flor1240
Sumba,None,sumb1242
Central-East Sumbanese,None,sumb1243
Central Sumbanese,None,kamb1320
Wewewa-Laboya,None,sumb1243
Hawu-Dhao,None,sumb1242
Flores Barat,None,flor1240
Manggaraiic,None,flor1241
Manggarai Khusus,None,mang1430
Waerana-Razong,None,mang1430
Central Flores-Paluqe,None,flor1241
Central Flores,None,ngad1265
Ngada,None,ngad1266
Eastern Central Flores,None,ngad1266
Ende-Lio,None,ende1245
Nage-Keo,None,ende1245
Central Maluku,None,cent2245
Teor-Kur,None,cent2254
West Central Maluku,None,cent2254
Buru-Sula-Taliabo,None,west2817
Sula-Buru,None,buru1321
Buruic,None,sula1247
Taliaboic,None,buru1321
East Central Maluku,None,cent2254
East Seram,None,east2466
East Rivers Seram,None,east2741
Setic,None,east2741
Banda-Geser,None,east2466
Seran Laut,None,band1354
Geser-Gorom-Bati,None,gese1239
Nunusaku,None,east2466
Three Rivers,None,nunu1252
Amalumute,None,thre1238
Northwest Seram,None,amal1243
Ulat Inai,None,nort3221
Piru Bay,None,nunu1252
East Piru Bay,None,piru1243
Solehua,None,east2752
Seram Straits,None,sole1243
Uliase,None,sera1270
Hatuhaha,None,ulia1238
Saparuan,None,hatu1247
Elpaputi,None,hatu1244
Saparua-Latu,None,hatu1244
Ambonic,None,sera1270
Northeast Ambon,None,ambo1254
Central Ambon,None,ambo1254
Eastern Littoral Piru Bay,None,east2752
West Piru Bay,None,piru1243
Hoamoal,None,west2843
West Hoamoal,None,hoam1238
East Hoamoal,None,hoam1238
Patakai-Manusela,None,nunu1252
Patakai,nua,pata1263
Manusela-Huaulu,None,pata1263
Timoric B,None,cent2245
Eastern Timoric B,None,timo1260
Western Timoric B,None,timo1260
Kemak-Tukudede,None,west2945
Timoric A,None,cent2245
Northern Timoric A,None,timo1259
Teun-Nila-Serua,None,nort3194
Nila-Serua,None,teun1242
Wetar,None,nort3194
Perai-Tugun-Aputai,None,weta1245
Perai-Aputai,None,pera1258
Western Timoric A,None,timo1259
Rote-Meto,None,west2545
West Rote,None,rote1234
East Rote-Meto,None,rote1234
Central-Eastern Rote-Meto,None,east2858
Eastern-East-Central Rote-Meto,None,cent2375
Eastern Rote-Meto,None,east2859
Uab Metoic,None,east2860
Northeast Meto,None,uabm1238
Tii-Lole,None,east2858
Eastern Timoric A,None,timo1259
Kawaimina,None,east2732
Luangic-Kisaric,None,east2732
Luangic,None,luan1261
Kisaric,None,luan1261
Central Timoric A,None,timo1259
Tetunic,None,cent2079
South Tanimbar,None,cent2245
Aru,None,cent2245
Ujir-Kola-Kompane,None,aruu1241
Kola-Kompane,None,ujir1238
Karey-Barakai,None,aruu1241
Batuley-Mariri,None,aruu1241
Central Aru,None,aruu1241
Dobel-Koba,None,cent2309
Babar,None,cent2245
North Babaric,None,baba1274
South Babar,None,baba1274
Southwest Babar,None,sout2881
Masela-South Babar,None,sout2881
Kei-Tanimbar,None,cent2245
Yamdena-Onin,None,keit1238
Oninic,None,yamd1241
Kei-Fordata,None,keit1238
North Mangyan,None,mala1545
Kalamian,None,mala1545
Malayo-Sumbawan,None,mala1545
Sundanese-Badui,None,mala1536
Maduresic,None,mala1536
North and East Malayo-Sumbawan,None,mala1536
Bali-Sasak-Sumbawa,None,nort3170
Sasak-Sumbawa,None,bali1277
Malayic,None,nort3170
Vehicular Malay,None,mala1538
Eastern Indonesia Trade Malay,None,vehi1234
Manadoic Malay,None,east2743
Ambonic Malay,None,east2743
Western Malayic Dayak,None,mala1538
Nuclear Malayic,None,mala1538
Betawic,None,nucl1733
Singapore Archipelago Malay,None,nucl1733
Unclassified Malayic,None,nucl1733
Indonesian Archipelago Malay,None,nucl1733
Bangka-Belitung Malay,None,indo1326
Ibanic,None,nucl1733
Minangkabauic,None,nucl1733
Middle Sumatra Malay,None,nucl1733
Borneo Malay,None,nucl1733
Southeast Borneo Malay,None,born1255
East Borneo Malay,None,sout3190
Banjar-Berau-Brunei Malay,None,east2755
Berau-Brunei Malay,None,banj1240
Banjar-Bukit Malay,None,banj1240
Brunei-Bacan Malay,None,born1255
Aceh-Chamic,None,nort3170
Chamic,None,cham1327
Highlands Chamic,None,cham1330
Rade-Jarai,None,high1280
Chru-Northern Cham,None,high1280
Northern Cham,None,chru1238
Chruic,None,chru1238
Coastal Chamic,None,cham1330
Cham,None,coas1305
Central Luzon,None,mala1545
Sambalic,None,cent2080
Mag-Ayta,None,samb1319
Abellen-Botolan,None,samb1319
Tina-Bolinao,None,samb1319
Greater Central Philippine,None,mala1545
Danaw,None,grea1284
Palawanic,None,grea1284
Southern Palawanic,None,pala1354
Molbog-Palawan,None,sout3165
Nuclear Palawan,None,molb1238
Brooke-Canipaan Palawan,None,nucl1738
Northern Palawanic,None,pala1354
Batak-Central Tagbanwa,None,nort3185
Subanen,None,grea1284
Nuclear Subanen,None,suba1253
East Nuclear Subanen,None,nucl1726
Western Subanen,None,suba1253
Manobo,None,grea1284
Central and Southern Manobo,None,mano1276
East-West-Central Manobo,None,cent2255
West Manobo,None,east2778
WBM-Livunganen-Ilianen,None,west2829
East and Central Manobo,None,east2778
East Manobo,None,east2742
Central Manobo,None,east2742
South Manobo,None,cent2255
Sarangani-Tasaday-Cotabato,None,sout2913
North Manobo,None,mano1276
Kinamiguin-Bukidnon,None,nort2884
Bukidnon,None,kina1254
Central Philippine,None,grea1284
Tagalogic,None,cent2246
Tagalog-Filipino,None,taga1280
Mansakan,None,cent2246
Eastern Mansakan,None,mans1261
Western Mansakan,None,mans1261
Kagan-Kalagan,None,west2552
Bisayan,None,cent2246
Central Bisayan,None,bisa1268
Warayan,None,cent2263
Samar-Waray,None,wara1304
Peripheral Central Bisayan,None,cent2263
Capiznon-Ilonggo-Kawayan,None,peri1261
Masbate-Sorsogon,None,peri1261
Unclassified Bisayan,None,bisa1268
West Bisayan,None,bisa1268
Kuyan,None,west2820
Datagnon-Santa Teresa-Semirara,None,kuya1251
Kinarayan,None,west2820
Aklan,None,west2820
Negrosanon,None,bisa1268
South Bisayan,None,bisa1268
Surigao,None,sout3175
Butuan-Tausug,None,sout3175
Bikol,None,cent2246
Coastal Bikol,None,biko1240
Inland Bikol,None,biko1240
Inagta Bikol,None,biko1240
Alabat-Manide Agta,None,cent2246
Gorontalo-Mongondow,None,grea1284
Mongondowic,None,goro1257
Gorontalic,None,goro1257
South Mangyan,None,grea1284
Buhid-Taubuid,None,sout2915
Batangan,None,buhi1244
Bilic,None,mala1545
Tboli-Blaan,None,bili1253
Blaan,None,tbol1241
Sangiric,None,mala1545
Southern Sangiric,None,sang1335
Northern Sangiric,None,sang1335
Sangil-Sangir,None,nort3174
Northern Luzon,None,mala1545
Cagayan Valley,None,nort3238
Ibanagic,None,caga1241
Atta,None,iban1268
Gaddangic,None,iban1268
Cagayan-Baliwon Gaddang,None,gadd1245
Northeastern Luzon,None,nort3238
Nuclear Northeastern Luzon,None,nort3187
Paranan-Pahanan,None,nucl1755
Unclassified Northern Luzon,None,nort3238
Meso-Cordilleran,None,nort3238
South-Central Cordilleran,None,meso1254
Central Cordilleran,None,sout3211
North Central Cordilleran,None,cent2296
Kalinga-Itneg,None,nort3240
Itneg,None,kali1310
Kalinga,None,kali1310
Northern Kalinga,None,kali1311
Northwest Kalinga,None,nort3226
Central and South Kalinga,None,kali1311
South Kalinga,None,cent2282
Southeastern Kalinga,None,sout3203
Masadiit,None,kali1311
Nuclear Cordilleran,None,nort3240
Ifugaw,None,nucl1754
Batad-Mayoyao,None,ifug1247
Bontok-Kankanay,None,nucl1754
Kankanay,None,bont1246
Maeng-Northern Kankanay,None,kank1245
Bontok,None,bont1246
Southern Cordilleran,None,sout3211
West Southern Cordilleran,None,sout2907
Nuclear Southern Cordilleran,None,west2550
Kalanguya,None,nucl1542
Minahasan,None,mala1545
North Minahasan,None,mina1272
Northeast Minahasan,None,nort2886
South Sulawesi,None,mala1545
Tamanic-Bugis,None,sout2923
Bugis,None,bugi1243
Tamanic,None,bugi1243
Northern South Sulawesi,None,sout2923
Pitu Ulunna Salu,None,nort2894
Matangnga-Aralle-Tabulahan,None,pitu1237
Torajic,None,nort2894
Masenrempulu,None,nort2894
Makassaric,None,sout2923
Nuclear Makassaric,None,maka1310
Konjo,None,maka1310
Seko,None,sout2923
Panasuanic,None,seko1241
North Borneo Malayo-Polynesian,None,mala1545
Southwest Sabahan,None,nort3253
Greater Dusunic,None,sout3154
Paitanic,None,grea1293
Upper Kinabatangan-Lobu,None,pait1248
Dusunic,None,grea1293
Rungus-Mangkaak-Labuk,None,dusu1277
Dumpas-Sukang,None,rung1260
Kadazan-Dusun,None,dusu1277
Sugut Kadazan,None,kada1292
Bisaya-Lotud,None,grea1293
Greater Murutic,None,sout3154
Murutic,None,grea1294
Eastern Murutic,None,muru1275
Selungai-Sembakung Murut,None,east2724
Northern Murutic,None,muru1275
Sumambu-Tagal,None,nort3186
Tidung-Bulusu,None,suma1273
Tidung,None,tidu1238
Kayan-Murik-Modang,None,nort3253
Modang-Segai,None,kaya1335
Kayan-Murik,None,kaya1335
Kayanic,None,kaya1336
Rejang-Makaham Kayan,None,kaya1333
Sarawak-Melanau-Kajang,None,nort3253
Melanau,None,sara1342
Sibu-Kanowit-Tanjong,None,mela1255
Kajang,None,sara1342
Kajaman-Lahanan,None,kaja1255
Punan-Muller-Schwaner,None,sara1342
Muller-Schwaner,None,puna1279
Punan,None,puna1279
Punan Tubu-Bah,None,puna1280
Bukat-Ukit-Beketan-Lugat-Lisum,None,puna1280
Aput-Busang-Merah-Kohi,None,puna1280
Northeast Sabahan,None,nort3253
