id,name,parent,latitude,longitude,countries,macroareas,status
ndq,Ndombe,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|unun9922|ndom1244,-12.96548,13.37097,|AO,|Africa,not endangered
umb,Umbundu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|umbu1257,-12.4763,14.4148,|AO|NA,|Africa,not endangered
diu,Diriku,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|kwan1288|diri1252,-18.1681,20.6678,|AO|BW|NA,|Africa,not endangered
kwn,Kwangali,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|kwan1288|kwan1273,-17.9026,19.256,|AO|NA,|Africa,not endangered
nyk,Nyaneka,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|cimb1239|nyan1320|nyan1305,-15.9616,14.94,|AO,|Africa,not endangered
khu,Nkhumbi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|cimb1239|nyan1320|nkhu1238,-15.4126,13.9704,|AO|NA,|Africa,not endangered
nql,Ngendelengo,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|cimb1239|ngen1257,-13.88747,13.12802,|AO,|Africa,not endangered
dhm,Zemba,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|cimb1239|here1252|zemb1238,-17.2958,13.4424,|AO|NA,|Africa,threatened
her,Herero,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|cimb1239|here1252|here1253,-21.0231,20.5655,|BW|NA,|Africa,threatened
olu,Kuvale,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|sout3233|kune1234|cimb1239|kuva1244,-15.3065,12.7148,|AO,|Africa,not endangered
